0 0:2 1:20
1 0:0.309959142 1:-0.131538812
1 0:-0.052330764 1:-0.819823294
0 0:-0.173094066 1:1.703886472
0 0:-0.293857369 1:-0.360966973
0 0:-1.139200483 1:0.097889349
0 0:-0.173094066 1:-0.131538812
0 0:1.276065559 1:0.097889349
0 0:-0.173094066 1:-0.590395133
0 0:-0.414620671 1:-1.508107775
0 0:-0.535383973 1:0.78617383
0 0:-1.259963786 1:-0.131538812
1 0:1.155302257 1:0.327317509
0 0:-0.535383973 1:1.474458312
0 0:0.913775653 1:-0.131538812
0 0:0.309959142 1:-0.131538812
1 0:0.672249049 1:-0.590395133
0 0:-1.018437181 1:-0.131538812
0 0:1.155302257 1:-0.590395133
1 0:-0.293857369 1:-0.590395133
0 0:-1.863780296 1:-0.131538812
0 0:-1.018437181 1:1.015601991
0 0:-1.259963786 1:0.097889349
1 0:1.276065559 1:0.097889349
0 0:-1.018437181 1:0.78617383
1 0:0.672249049 1:-0.590395133
0 0:-0.897673879 1:0.55674567
0 0:-1.018437181 1:0.55674567
0 0:-1.139200483 1:-0.131538812
0 0:0.551485746 1:-1.737535936
0 0:-0.776910577 1:-0.819823294
0 0:-0.414620671 1:-1.049251454
0 0:-0.173094066 1:-0.360966973
1 0:2.242171976 1:-0.131538812
0 0:1.034538955 1:0.097889349
0 0:-1.018437181 1:1.245030151
1 0:0.793012351 1:0.327317509
1 0:2.242171976 1:-0.590395133
0 0:1.396828861 1:0.327317509
0 0:-1.018437181 1:-1.737535936
1 0:0.551485746 1:-1.278679615
1 0:0.551485746 1:-0.590395133
0 0:-1.743016994 1:-0.131538812
0 0:-0.052330764 1:-1.049251454
0 0:-0.656147275 1:1.474458312
0 0:-0.293857369 1:-0.131538812
1 0:-1.139200483 1:-1.278679615
0 0:-0.173094066 1:3.080455436
1 0:1.87988207 1:-0.590395133
0 0:-0.293857369 1:-0.819823294
1 0:1.034538955 1:0.55674567
0 0:-0.897673879 1:1.015601991
0 0:-0.293857369 1:-1.278679615
1 0:0.793012351 1:-0.131538812
0 0:-1.380727088 1:0.327317509
0 0:-1.259963786 1:-0.131538812
0 0:-0.897673879 1:1.015601991
0 0:-1.139200483 1:-1.508107775
0 0:0.068432538 1:0.327317509
0 0:1.034538955 1:0.097889349
1 0:-0.173094066 1:-1.278679615
0 0:0.309959142 1:-0.360966973
1 0:1.155302257 1:-0.131538812
1 0:1.034538955 1:-1.278679615
0 0:-0.897673879 1:1.703886472
1 0:0.430722444 1:0.78617383
1 0:-0.052330764 1:-0.819823294
0 0:-0.776910577 1:0.78617383
0 0:-0.414620671 1:-1.508107775
0 0:-0.535383973 1:1.933314633
1 0:0.430722444 1:-0.590395133
0 0:-1.259963786 1:0.78617383
1 0:0.309959142 1:-1.049251454
1 0:0.793012351 1:-0.131538812
0 0:0.430722444 1:-0.360966973
0 0:0.672249049 1:0.327317509
0 0:-1.380727088 1:0.327317509
0 0:-0.535383973 1:1.933314633
0 0:-1.018437181 1:0.327317509
0 0:0.309959142 1:-0.590395133
0 0:1.034538955 1:-0.131538812
1 0:1.034538955 1:0.55674567
1 0:1.276065559 1:0.097889349
0 0:0.309959142 1:-0.590395133
0 0:-1.139200483 1:1.245030151
0 0:-0.897673879 1:1.703886472
0 0:-0.052330764 1:2.162742793
0 0:-0.173094066 1:-0.590395133
0 0:-1.259963786 1:0.78617383
1 0:0.672249049 1:0.097889349
0 0:-0.052330764 1:-0.819823294
